"Jahr","Monat","Kanton","Herkunftsland - Total Logiernachte"
"2005","Januar","Schweiz",2680116
"2005","Februar","Schweiz",3017746
"2005","Marz","Schweiz",3238735
"2005","April","Schweiz",2067465
"2005","Mai","Schweiz",2185950
"2005","Juni","Schweiz",2889836
"2005","Juli","Schweiz",3775995
"2005","August","Schweiz",3868916
"2005","September","Schweiz",3108116
"2005","Oktober","Schweiz",2437899
"2005","November","Schweiz",1557016
"2005","Dezember","Schweiz",2115946
"2006","Januar","Schweiz",2758499
"2006","Februar","Schweiz",3121764
"2006","Marz","Schweiz",3178498
"2006","April","Schweiz",2452012
"2006","Mai","Schweiz",2384279
"2006","Juni","Schweiz",3076050
"2006","Juli","Schweiz",3959870
"2006","August","Schweiz",3970611
"2006","September","Schweiz",3372030
"2006","Oktober","Schweiz",2627298
"2006","November","Schweiz",1652802
"2006","Dezember","Schweiz",2294713
"2007","Januar","Schweiz",2805431
"2007","Februar","Schweiz",3199941
"2007","Marz","Schweiz",3299070
"2007","April","Schweiz",2567355
"2007","Mai","Schweiz",2444132
"2007","Juni","Schweiz",3259599
"2007","Juli","Schweiz",4141663
"2007","August","Schweiz",4130987
"2007","September","Schweiz",3437870
"2007","Oktober","Schweiz",2764949
"2007","November","Schweiz",1823134
"2007","Dezember","Schweiz",2490669
"2008","Januar","Schweiz",3022923
"2008","Februar","Schweiz",3529312
"2008","Marz","Schweiz",3588125
"2008","April","Schweiz",2389570
"2008","Mai","Schweiz",2720033
"2008","Juni","Schweiz",3177138
"2008","Juli","Schweiz",4280339
"2008","August","Schweiz",4293523
"2008","September","Schweiz",3414007
"2008","Oktober","Schweiz",2698200
"2008","November","Schweiz",1701598
"2008","Dezember","Schweiz",2519001
"2009","Januar","Schweiz",2892780
"2009","Februar","Schweiz",3193670
"2009","Marz","Schweiz",3092601
"2009","April","Schweiz",2444733
"2009","Mai","Schweiz",2438983
"2009","Juni","Schweiz",3033834
"2009","Juli","Schweiz",4070370
"2009","August","Schweiz",4156948
"2009","September","Schweiz",3415644
"2009","Oktober","Schweiz",2645745
"2009","November","Schweiz",1696201
"2009","Dezember","Schweiz",2507384
"2010","Januar","Schweiz",2824863
"2010","Februar","Schweiz",3257066
"2010","Marz","Schweiz",3249889
"2010","April","Schweiz",2397071
"2010","Mai","Schweiz",2517362
"2010","Juni","Schweiz",3222920
"2010","Juli","Schweiz",4279435
"2010","August","Schweiz",4117394
"2010","September","Schweiz",3461857
"2010","Oktober","Schweiz",2678652
"2010","November","Schweiz",1776454
"2010","Dezember","Schweiz",2424849
"2011","Januar","Schweiz",2884526
"2011","Februar","Schweiz",3013325
"2011","Marz","Schweiz",3327747
"2011","April","Schweiz",2410628
"2011","Mai","Schweiz",2505390
"2011","Juni","Schweiz",3321145
"2011","Juli","Schweiz",4140223
"2011","August","Schweiz",3863314
"2011","September","Schweiz",3335286
"2011","Oktober","Schweiz",2599628
"2011","November","Schweiz",1778576
"2011","Dezember","Schweiz",2306468
"2012","Januar","Schweiz",2763813
"2012","Februar","Schweiz",3080789
"2012","Marz","Schweiz",3063085
"2012","April","Schweiz",2293112
"2012","Mai","Schweiz",2522499
"2012","Juni","Schweiz",3142502
"2012","Juli","Schweiz",3854837
"2012","August","Schweiz",3870915
"2012","September","Schweiz",3294923
"2012","Oktober","Schweiz",2643983
"2012","November","Schweiz",1806607
"2012","Dezember","Schweiz",2429208
"2013","Januar","Schweiz",2735819
"2013","Februar","Schweiz",3038542
"2013","Marz","Schweiz",3213051
"2013","April","Schweiz",2278513
"2013","Mai","Schweiz",2562315
"2013","Juni","Schweiz",3274533
"2013","Juli","Schweiz",4031410
"2013","August","Schweiz",4164567
"2013","September","Schweiz",3326707
"2013","Oktober","Schweiz",2633182
"2013","November","Schweiz",1861420
"2013","Dezember","Schweiz",2503824
"2014","Januar","Schweiz",2782625
"2014","Februar","Schweiz",2919251
"2014","Marz","Schweiz",3227446
"2014","April","Schweiz",2356682
"2014","Mai","Schweiz",2619867
"2014","Juni","Schweiz",3198713
"2014","Juli","Schweiz",3920638
"2014","August","Schweiz",4258511
"2014","September","Schweiz",3384577
"2014","Oktober","Schweiz",2782427
"2014","November","Schweiz",1867454
"2014","Dezember","Schweiz",2615321
"2015","Januar","Schweiz",2765550
"2015","Februar","Schweiz",3115410
"2015","Marz","Schweiz",2987195
"2015","April","Schweiz",2344338
"2015","Mai","Schweiz",2616805
"2015","Juni","Schweiz",3216833
"2015","Juli","Schweiz",4075726
"2015","August","Schweiz",4123659
"2015","September","Schweiz",3360603
"2015","Oktober","Schweiz",2686864
"2015","November","Schweiz",1866861
"2015","Dezember","Schweiz",2468632
"2016","Januar","Schweiz",2574777
"2016","Februar","Schweiz",3085026
"2016","Marz","Schweiz",3166213
"2016","April","Schweiz",2268587
"2016","Mai","Schweiz",2660851
"2016","Juni","Schweiz",3125222
"2016","Juli","Schweiz",4070731
"2016","August","Schweiz",4095863
"2016","September","Schweiz",3392208
"2016","Oktober","Schweiz",2764619
"2016","November","Schweiz",1878653
"2016","Dezember","Schweiz",2449826
"2017","Januar","Schweiz",2709743
"2017","Februar","Schweiz",3049114
"2017","Marz","Schweiz",3154642
"2017","April","Schweiz",2546968
"2017","Mai","Schweiz",2791766
"2017","Juni","Schweiz",3430831
"2017","Juli","Schweiz",4289083
"2017","August","Schweiz",4265016
"2017","September","Schweiz",3569618
"2017","Oktober","Schweiz",2980995
"2017","November","Schweiz",1973338
"2017","Dezember","Schweiz",2631626
"2018","Januar","Schweiz",2871590
"2018","Februar","Schweiz",3194275
"2018","Marz","Schweiz",3328071
"2018","April","Schweiz",2576811
"2018","Mai","Schweiz",2874763
"2018","Juni","Schweiz",3613500
"2018","Juli","Schweiz",4422988
"2018","August","Schweiz",4478634
"2018","September","Schweiz",3694903
"2018","Oktober","Schweiz",2998715
"2018","November","Schweiz",2025429
"2018","Dezember","Schweiz",2727098
"2019","Januar","Schweiz",2836384
"2019","Februar","Schweiz",3113363
"2019","Marz","Schweiz",3352687
"2019","April","Schweiz",2676948
"2019","Mai","Schweiz",3006949
"2019","Juni","Schweiz",3800082
"2019","Juli","Schweiz",4568810
"2019","August","Schweiz",4505292
"2019","September","Schweiz",3705035
"2019","Oktober","Schweiz",3060503
"2019","November","Schweiz",2085854
"2019","Dezember","Schweiz",2850132
"2020","Januar","Schweiz",3037206
"2020","Februar","Schweiz",3332477
"2020","Marz","Schweiz",1271032
"2020","April","Schweiz",218183
"2020","Mai","Schweiz",643629
"2020","Juni","Schweiz",1454831
"2020","Juli","Schweiz",3429514
"2020","August","Schweiz",3279916
"2020","September","Schweiz",2685206
"2020","Oktober","Schweiz",2068731
"2020","November","Schweiz",896433
"2020","Dezember","Schweiz",1413580
"2021","Januar","Schweiz",1273190
"2021","Februar","Schweiz",2015435
"2021","Marz","Schweiz",1878469
"2021","April","Schweiz",1998179
"2021","Mai","Schweiz",2027884
"2021","Juni","Schweiz",2282949
"2021","Juli","Schweiz",3648287
"2021","August","Schweiz",4176588
"2021","September","Schweiz",3298707
"2021","Oktober","Schweiz",2893907
"2021","November","Schweiz",1745936
"2021","Dezember","Schweiz",2319318
"2022","Januar","Schweiz",2204984
"2022","Februar","Schweiz",2892697
"2022","Marz","Schweiz",3053960
"2022","April","Schweiz",2523861
"2022","Mai","Schweiz",2820085
"2022","Juni","Schweiz",3608503
"2022","Juli","Schweiz",4515171
"2022","August","Schweiz",4514339
"2022","September","Schweiz",3779348
"2022","Oktober","Schweiz",3238618
"2022","November","Schweiz",2110564
"2022","Dezember","Schweiz",2979015
