DATE,DEXSZUS
2018-11-09,1.0062
2018-11-12,.
2018-11-13,1.0083
2018-11-14,1.0067
2018-11-15,1.0058
2018-11-16,1.0012
2018-11-19,0.9938
2018-11-20,0.9944
2018-11-21,0.9952
2018-11-22,.
2018-11-23,0.9976
2018-11-26,0.9984
2018-11-27,0.9998
2018-11-28,0.9994
2018-11-29,0.9966
2018-11-30,0.9987
2018-12-03,0.9975
2018-12-04,0.9975
2018-12-05,.
2018-12-06,0.9926
2018-12-07,0.9914
2018-12-10,0.9896
2018-12-11,0.9931
2018-12-12,0.992
2018-12-13,0.9938
2018-12-14,0.997
2018-12-17,0.9934
2018-12-18,0.993
2018-12-19,0.9918
2018-12-20,0.9918
2018-12-21,0.9914
2018-12-24,.
2018-12-25,.
2018-12-26,0.9908
2018-12-27,0.9902
2018-12-28,0.9838
2018-12-31,0.9832
2019-01-01,.
2019-01-02,0.9884
2019-01-03,0.9889
2019-01-04,0.9859
2019-01-07,0.981
2019-01-08,0.981
2019-01-09,0.9767
2019-01-10,0.9817
2019-01-11,0.9829
2019-01-14,.
2019-01-15,0.9885
2019-01-16,0.9899
2019-01-17,0.9944
2019-01-18,0.9954
2019-01-21,.
2019-01-22,0.9972
2019-01-23,0.9946
2019-01-24,0.9965
2019-01-25,0.993
2019-01-28,0.991
2019-01-29,0.995
2019-01-30,0.9988
2019-01-31,0.9938
2019-02-01,0.994
2019-02-04,0.9974
2019-02-05,1.0005
2019-02-06,1.0009
2019-02-07,1.001
2019-02-08,1.0
2019-02-11,1.004
2019-02-12,1.0068
2019-02-13,1.0073
2019-02-14,1.0064
2019-02-15,1.0063
2019-02-18,.
2019-02-19,1.0018
2019-02-20,.
2019-02-21,1.001
2019-02-22,0.9998
2019-02-25,1.0006
2019-02-26,1.0002
2019-02-27,1.0003
2019-02-28,0.9974
2019-03-01,0.9987
2019-03-04,0.9994
2019-03-05,1.0045
2019-03-06,1.0038
2019-03-07,1.0106
2019-03-08,1.0074
2019-03-11,1.011
2019-03-12,1.0078
2019-03-13,1.0046
2019-03-14,1.0044
2019-03-15,1.0026
2019-03-18,1.0004
2019-03-19,1.0001
2019-03-20,0.9974
2019-03-21,0.9924
2019-03-22,0.994
2019-03-25,0.9918
2019-03-26,0.994
2019-03-27,0.9946
2019-03-28,0.9952
2019-03-29,0.9962
2019-04-01,0.9988
2019-04-02,0.9986
2019-04-03,0.997
2019-04-04,1.0002
2019-04-05,1.0003
2019-04-08,0.9994
2019-04-09,0.9999
2019-04-10,1.0019
2019-04-11,1.0027
2019-04-12,1.0017
2019-04-15,1.0039
2019-04-16,1.0066
2019-04-17,1.0099
2019-04-18,1.0154
2019-04-19,1.0144
2019-04-22,1.0155
2019-04-23,1.0218
2019-04-24,1.0184
2019-04-25,1.0199
2019-04-26,1.019
2019-04-29,1.0201
2019-04-30,1.02
2019-05-01,1.0137
2019-05-02,1.018
2019-05-03,1.0178
2019-05-06,1.0179
2019-05-07,1.0215
2019-05-08,1.0181
2019-05-09,1.0133
2019-05-10,1.0109
2019-05-13,1.0064
2019-05-14,1.0088
2019-05-15,1.009
2019-05-16,1.0101
2019-05-17,1.0108
2019-05-20,1.0082
2019-05-21,1.0104
2019-05-22,1.009
2019-05-23,1.004
2019-05-24,1.0021
2019-05-27,.
2019-05-28,1.0086
2019-05-29,1.0066
2019-05-30,1.0074
2019-05-31,1.0034
2019-06-03,0.9994
2019-06-04,0.994
2019-06-05,0.9919
2019-06-06,0.9886
2019-06-07,0.9877
2019-06-10,0.9898
2019-06-11,0.9925
2019-06-12,0.9944
2019-06-13,0.9946
2019-06-14,0.999
2019-06-17,0.9982
2019-06-18,0.9994
2019-06-19,0.996
2019-06-20,0.9821
2019-06-21,0.9789
2019-06-24,0.972
2019-06-25,0.9726
2019-06-26,0.976
2019-06-27,0.9766
2019-06-28,0.9758
2019-07-01,0.9864
2019-07-02,0.986
2019-07-03,0.9864
2019-07-04,.
2019-07-05,0.9923
2019-07-08,0.9938
2019-07-09,0.9928
2019-07-10,0.9892
2019-07-11,0.9886
2019-07-12,0.9845
2019-07-15,0.9847
2019-07-16,0.989
2019-07-17,0.987
2019-07-18,0.9862
2019-07-19,0.9823
2019-07-22,0.9815
2019-07-23,0.9848
2019-07-24,0.9854
2019-07-25,0.9899
2019-07-26,0.9933
2019-07-29,0.9916
2019-07-30,0.9908
2019-07-31,0.9902
2019-08-01,0.9938
2019-08-02,0.982
2019-08-05,0.9721
2019-08-06,0.9782
2019-08-07,0.9708
2019-08-08,0.9751
2019-08-09,0.971
2019-08-12,0.9696
2019-08-13,0.9744
2019-08-14,0.9736
2019-08-15,0.9762
2019-08-16,0.98
2019-08-19,0.9808
2019-08-20,0.9792
2019-08-21,0.9816
2019-08-22,0.9834
2019-08-23,0.9748
2019-08-26,0.9782
2019-08-27,0.9815
2019-08-28,0.9807
2019-08-29,0.9853
2019-08-30,0.9899
2019-09-02,.
2019-09-03,0.9872
2019-09-04,0.9817
2019-09-05,0.9868
2019-09-06,0.9866
2019-09-09,0.991
2019-09-10,0.9908
2019-09-11,0.9933
2019-09-12,0.9891
2019-09-13,0.9898
2019-09-16,0.9919
2019-09-17,0.9925
2019-09-18,0.995
2019-09-19,0.9927
2019-09-20,0.993
2019-09-23,0.9894
2019-09-24,0.9872
2019-09-25,0.9909
2019-09-26,0.9928
2019-09-27,0.9919
2019-09-30,0.9978
2019-10-01,0.9936
2019-10-02,0.9975
2019-10-03,0.9974
2019-10-04,0.9958
2019-10-07,0.9947
2019-10-08,0.994
2019-10-09,0.995
2019-10-10,0.9954
2019-10-11,0.9967
2019-10-14,.
2019-10-15,0.9982
2019-10-16,0.9959
2019-10-17,0.987
2019-10-18,0.9856
2019-10-21,0.9865
2019-10-22,0.9889
2019-10-23,0.9907
2019-10-24,0.9923
2019-10-25,0.9945
2019-10-28,0.996
2019-10-29,0.9936
2019-10-30,0.9909
2019-10-31,0.9868
2019-11-01,0.9855
2019-11-04,0.9871
2019-11-05,0.9932
2019-11-06,0.992
2019-11-07,0.9954
2019-11-08,0.9971
2019-11-11,.
2019-11-12,0.9929
2019-11-13,0.9892
2019-11-14,0.9878
2019-11-15,0.9903
2019-11-18,0.9879
2019-11-19,0.9912
2019-11-20,0.9921
2019-11-21,0.992
2019-11-22,0.9967
2019-11-25,0.9964
2019-11-26,0.9978
2019-11-27,0.9996
2019-11-28,.
2019-11-29,1.0001
2019-12-02,0.992
2019-12-03,0.9862
2019-12-04,0.9893
2019-12-05,0.9872
2019-12-06,0.9909
2019-12-09,0.9879
2019-12-10,0.9852
2019-12-11,0.9856
2019-12-12,0.986
2019-12-13,0.9838
2019-12-16,0.9839
2019-12-17,0.9811
2019-12-18,0.9819
2019-12-19,0.9777
2019-12-20,0.9824
2019-12-23,0.982
2019-12-24,0.9807
2019-12-25,.
2019-12-26,0.9808
2019-12-27,0.9741
2019-12-30,0.9677
2019-12-31,0.9677
2020-01-01,.
2020-01-02,0.9721
2020-01-03,0.9703
2020-01-06,0.9688
2020-01-07,0.9716
2020-01-08,0.9725
2020-01-09,0.9724
2020-01-10,0.9729
2020-01-13,0.9705
2020-01-14,0.9677
2020-01-15,0.9634
2020-01-16,0.965
2020-01-17,0.9683
2020-01-20,.
2020-01-21,0.9681
2020-01-22,0.9696
2020-01-23,0.9698
2020-01-24,0.9712
2020-01-27,0.9695
2020-01-28,0.9738
2020-01-29,0.9747
2020-01-30,0.9692
2020-01-31,0.9645
2020-02-03,0.9655
2020-02-04,0.9693
2020-02-05,0.9729
2020-02-06,0.975
2020-02-07,0.9777
2020-02-10,0.9778
2020-02-11,0.9761
2020-02-12,0.9767
2020-02-13,0.9788
2020-02-14,0.9818
2020-02-17,.
2020-02-18,0.9814
2020-02-19,0.9839
2020-02-20,0.9831
2020-02-21,0.9781
2020-02-24,0.9776
2020-02-25,0.9765
2020-02-26,0.9759
2020-02-27,0.9718
2020-02-28,0.9671
2020-03-02,0.9577
2020-03-03,0.9563
2020-03-04,0.9554
2020-03-05,0.9487
2020-03-06,0.9365
2020-03-09,0.9296
2020-03-10,0.933
2020-03-11,0.9381
2020-03-12,0.954
2020-03-13,0.9541
2020-03-16,0.9467
2020-03-17,0.9647
2020-03-18,0.9727
2020-03-19,0.9847
2020-03-20,0.9866
2020-03-23,0.9824
2020-03-24,0.9813
2020-03-25,0.9781
2020-03-26,0.9645
2020-03-27,0.9558
2020-03-30,0.9606
2020-03-31,0.9627
2020-04-01,0.9675
2020-04-02,0.9727
2020-04-03,0.9777
2020-04-06,0.9768
2020-04-07,0.9707
2020-04-08,0.971
2020-04-09,0.966
2020-04-10,0.9648
2020-04-13,0.9674
2020-04-14,0.9606
2020-04-15,0.9647
2020-04-16,0.9695
2020-04-17,0.9662
2020-04-20,0.967
2020-04-21,0.9691
2020-04-22,0.9711
2020-04-23,0.9731
2020-04-24,0.975
2020-04-27,0.9756
2020-04-28,0.9743
2020-04-29,0.9748
2020-04-30,0.9669
2020-05-01,0.9599
2020-05-04,0.9647
2020-05-05,0.9721
2020-05-06,0.9745
2020-05-07,0.9746
2020-05-08,0.9699
2020-05-11,0.9722
2020-05-12,0.968
2020-05-13,0.9704
2020-05-14,0.9727
2020-05-15,0.9726
2020-05-18,0.9699
2020-05-19,0.9725
2020-05-20,0.9649
2020-05-21,0.9703
2020-05-22,0.9722
2020-05-25,.
2020-05-26,0.9668
2020-05-27,0.9696
2020-05-28,0.9642
2020-05-29,0.9618
2020-06-01,0.9613
2020-06-02,0.9623
2020-06-03,0.9613
2020-06-04,0.9565
2020-06-05,0.9622
2020-06-08,0.9567
2020-06-09,0.9487
2020-06-10,0.945
2020-06-11,0.9382
2020-06-12,0.9515
2020-06-15,0.9503
2020-06-16,0.9494
2020-06-17,0.9512
2020-06-18,0.951
2020-06-19,0.9519
2020-06-22,0.9475
2020-06-23,0.9438
2020-06-24,0.9471
2020-06-25,0.9485
2020-06-26,0.948
2020-06-29,0.9504
2020-06-30,0.9467
2020-07-01,0.9455
2020-07-02,0.9455
2020-07-03,.
2020-07-06,0.9416
2020-07-07,0.941
2020-07-08,0.9382
2020-07-09,0.9397
2020-07-10,0.9395
2020-07-13,0.941
2020-07-14,0.9385
2020-07-15,0.9439
2020-07-16,0.9432
2020-07-17,0.9388
2020-07-20,0.9389
2020-07-21,0.934
2020-07-22,0.9288
2020-07-23,0.925
2020-07-24,0.9222
2020-07-27,0.9204
2020-07-28,0.9169
2020-07-29,0.9141
2020-07-30,0.912
2020-07-31,0.9113
2020-08-03,0.9194
2020-08-04,0.9154
2020-08-05,0.9053
2020-08-06,0.9101
2020-08-07,0.914
2020-08-10,0.9154
2020-08-11,0.9163
2020-08-12,0.9109
2020-08-13,0.9097
2020-08-14,0.9091
2020-08-17,0.9058
2020-08-18,0.9029
2020-08-19,0.9114
2020-08-20,0.9082
2020-08-21,0.9131
2020-08-24,0.9109
2020-08-25,0.9089
2020-08-26,0.9086
2020-08-27,0.9077
2020-08-28,0.9041
2020-08-31,0.9012
2020-09-01,0.9072
2020-09-02,0.9107
2020-09-03,0.9104
2020-09-04,0.9147
2020-09-07,.
2020-09-08,0.9166
2020-09-09,0.9131
2020-09-10,0.9077
2020-09-11,0.9092
2020-09-14,0.9071
2020-09-15,0.9085
2020-09-16,0.908
2020-09-17,0.9098
2020-09-18,0.9096
2020-09-21,0.9163
2020-09-22,0.92
2020-09-23,0.9233
2020-09-24,0.9264
2020-09-25,0.9291
2020-09-28,0.9247
2020-09-29,0.9215
2020-09-30,0.9188
2020-10-01,0.9179
2020-10-02,0.9204
2020-10-05,0.9153
2020-10-06,0.9153
2020-10-07,0.9168
2020-10-08,0.9176
2020-10-09,0.9103
2020-10-12,.
2020-10-13,0.9147
2020-10-14,0.9127
2020-10-15,0.9143
2020-10-16,0.9153
2020-10-19,0.9092
2020-10-20,0.9071
2020-10-21,0.9042
2020-10-22,0.9074
2020-10-23,0.9055
2020-10-26,0.9073
2020-10-27,0.9066
2020-10-28,0.9097
2020-10-29,0.9171
2020-10-30,0.9165
2020-11-02,0.92
2020-11-03,0.9126
2020-11-04,0.9107
2020-11-05,0.9063
2020-11-06,0.8986
2020-11-09,0.9127
2020-11-10,0.9136
2020-11-11,.
2020-11-12,0.9136
2020-11-13,0.9133
2020-11-16,0.9121
2020-11-17,0.9109
2020-11-18,0.9096
2020-11-19,0.9119
2020-11-20,0.9118
2020-11-23,0.9131
2020-11-24,0.9121
2020-11-25,0.909
2020-11-26,.
2020-11-27,.
2020-11-30,0.906
2020-12-01,0.9005
2020-12-02,0.8961
2020-12-03,0.8906
2020-12-04,0.8908
2020-12-07,0.8892
2020-12-08,0.8886
2020-12-09,0.8901
2020-12-10,0.8878
2020-12-11,0.8902
2020-12-14,0.8872
2020-12-15,0.8859
2020-12-16,0.8861
2020-12-17,0.8841
2020-12-18,0.885
2020-12-21,0.8859
2020-12-22,0.8889
2020-12-23,0.8882
2020-12-24,.
2020-12-25,.
2020-12-28,0.8898
2020-12-29,0.8838
2020-12-30,0.8832
2020-12-31,0.8841
2021-01-01,.
2021-01-04,0.8811
2021-01-05,0.8784
2021-01-06,0.881
2021-01-07,0.8841
2021-01-08,0.8843
2021-01-11,0.8897
2021-01-12,0.8892
2021-01-13,0.8874
2021-01-14,0.887
2021-01-15,0.8894
2021-01-18,.
2021-01-19,0.8888
2021-01-20,.
2021-01-21,0.887
2021-01-22,0.8853
2021-01-25,0.8882
2021-01-26,0.888
2021-01-27,0.889
2021-01-28,0.8887
2021-01-29,0.8905
2021-02-01,0.8965
2021-02-02,0.8987
2021-02-03,0.8993
2021-02-04,0.9031
2021-02-05,0.8996
2021-02-08,0.8986
2021-02-09,0.893
2021-02-10,0.8891
2021-02-11,0.8907
2021-02-12,0.8911
2021-02-15,.
2021-02-16,0.8923
2021-02-17,0.8985
2021-02-18,0.8968
2021-02-19,0.8948
2021-02-22,0.8958
2021-02-23,0.9022
2021-02-24,0.9074
2021-02-25,0.9033
2021-02-26,0.9092
2021-03-01,0.9138
2021-03-02,0.9141
2021-03-03,0.918
2021-03-04,0.9257
2021-03-05,0.9305
2021-03-08,0.9355
2021-03-09,0.9292
2021-03-10,0.9317
2021-03-11,0.9244
2021-03-12,0.9281
2021-03-15,0.9283
2021-03-16,0.9261
2021-03-17,0.9276
2021-03-18,0.9281
2021-03-19,0.9301
2021-03-22,0.9233
2021-03-23,0.9327
2021-03-24,0.9355
2021-03-25,0.9393
2021-03-26,0.9398
2021-03-29,0.9381
2021-03-30,0.9427
2021-03-31,0.9418
2021-04-01,0.9409
2021-04-02,0.9419
2021-04-05,0.9359
2021-04-06,0.9325
2021-04-07,0.9274
2021-04-08,0.9249
2021-04-09,0.9249
2021-04-12,0.9228
2021-04-13,0.9213
2021-04-14,0.9228
2021-04-15,0.9227
2021-04-16,0.9196
2021-04-19,0.9155
2021-04-20,0.9145
2021-04-21,0.9166
2021-04-22,0.9182
2021-04-23,0.9152
2021-04-26,0.9145
2021-04-27,0.9134
2021-04-28,0.9124
2021-04-29,0.9099
2021-04-30,0.9127
2021-05-03,0.9116
2021-05-04,0.9136
2021-05-05,0.913
2021-05-06,0.9096
2021-05-07,0.9009
2021-05-10,0.8986
2021-05-11,0.902
