"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","CCI","AMPLITUD","LTRENDIDX","M","2005-01",101.0849,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2005-02",100.9272,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2005-03",100.6945,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2005-04",100.5035,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2005-05",100.5724,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2005-06",100.826,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2005-07",100.7312,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2005-08",100.1318,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2005-09",99.40324,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2005-10",99.16681,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2005-11",99.55865,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2005-12",100.1433,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2006-01",100.4072,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2006-02",100.3578,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2006-03",100.2247,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2006-04",99.9697,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2006-05",99.68392,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2006-06",99.66288,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2006-07",99.69952,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2006-08",99.7991,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2006-09",100.1186,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2006-10",100.5441,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2006-11",100.7782,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2006-12",100.8951,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2007-01",100.9276,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2007-02",100.7015,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2007-03",100.4261,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2007-04",100.2498,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2007-05",100.1887,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2007-06",100.1475,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2007-07",100.124,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2007-08",99.89185,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2007-09",99.63338,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2007-10",99.33501,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2007-11",99.04545,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2007-12",98.87508,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2008-01",98.71132,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2008-02",98.31721,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2008-03",97.84206,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2008-04",97.30647,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2008-05",96.92194,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2008-06",96.80101,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2008-07",97.00693,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2008-08",97.26781,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2008-09",97.34492,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2008-10",96.9871,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2008-11",96.72694,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2008-12",96.71937,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2009-01",96.72667,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2009-02",96.70027,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2009-03",96.90499,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2009-04",97.3593,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2009-05",97.75021,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2009-06",97.91205,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2009-07",97.86621,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2009-08",97.9105,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2009-09",98.09079,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2009-10",98.12084,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2009-11",98.13506,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2009-12",98.31159,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2010-01",98.47522,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2010-02",98.53099,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2010-03",98.52785,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2010-04",98.50718,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2010-05",98.5059,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2010-06",98.40969,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2010-07",98.12177,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2010-08",97.94617,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2010-09",97.89474,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2010-10",97.99438,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2010-11",98.25465,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2010-12",98.50836,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2011-01",98.61788,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2011-02",98.56826,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2011-03",98.32188,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2011-04",98.26281,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2011-05",98.24693,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2011-06",97.93617,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2011-07",97.35268,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2011-08",96.85464,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2011-09",96.7867,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2011-10",97.021,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2011-11",97.46777,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2011-12",98.0204,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2012-01",98.49153,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2012-02",98.75419,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2012-03",98.88077,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2012-04",98.91624,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2012-05",98.85926,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2012-06",98.65061,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2012-07",98.5771,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2012-08",98.75045,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2012-09",99.07324,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2012-10",99.30472,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2012-11",99.21655,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2012-12",98.87574,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2013-01",98.74471,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2013-02",98.84981,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2013-03",99.02007,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2013-04",99.23657,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2013-05",99.58191,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2013-06",99.76046,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2013-07",99.72198,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2013-08",99.43527,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2013-09",99.04624,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2013-10",98.80573,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2013-11",98.90831,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2013-12",99.21838,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-01",99.39488,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-02",99.46645,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-03",99.49938,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-04",99.57395,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-05",99.56004,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-06",99.53307,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-07",99.5247,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-08",99.62163,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-09",99.83032,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-10",100.1237,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-11",100.4837,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-12",100.8829,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-01",101.1518,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-02",101.1541,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-03",101.0559,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-04",101.0002,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-05",100.9184,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-06",100.9327,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-07",100.816,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-08",100.6232,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-09",100.4494,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-10",100.4792,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-11",100.5978,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-12",100.6965,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-01",100.7098,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-02",100.6719,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-03",100.6313,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-04",100.6538,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-05",100.7783,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-06",100.7559,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-07",100.6066,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-08",100.4988,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-09",100.4793,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-10",100.5575,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-11",100.8925,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-12",101.2359,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017-01",101.3867,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017-02",101.3742,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017-03",101.343,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017-04",101.3027,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017-05",101.2303,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017-06",101.1226,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017-07",101.0809,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017-08",101.179,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017-09",101.3019,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017-10",101.4542,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017-11",101.4338,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017-12",101.3498,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018-01",101.3796,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018-02",101.5417,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018-03",101.6425,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018-04",101.5918,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018-05",101.5063,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018-06",101.4486,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018-07",101.4173,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018-08",101.4285,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018-09",101.5114,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018-10",101.4937,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018-11",101.385,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018-12",101.2156,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-01",101.0127,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-02",101.0665,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-03",101.2831,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-04",101.4419,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-05",101.5292,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-06",101.4361,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-07",101.2057,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-08",100.9117,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-09",100.9116,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-10",101.1131,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-11",101.3799,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-12",101.6061,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2020-01",101.6045,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2020-02",101.1795,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2020-03",100.1885,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2020-04",99.1106,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2020-05",98.61409,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2020-06",98.56465,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2020-07",98.58183,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2020-08",98.78221,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2020-09",99.09242,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2020-10",99.2401,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2020-11",99.19731,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2020-12",99.20036,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2021-01",99.2064,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2021-02",99.345,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2021-03",99.70872,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2021-04",99.95132,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2021-05",99.89301,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2021-06",99.6846,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2021-07",99.21977,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2021-08",98.65459,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2021-09",98.35787,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2021-10",98.17253,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2021-11",98.01131,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2021-12",97.91058,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2022-01",97.67711,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2022-02",97.37165,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2022-03",97.13569,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2022-04",96.9705,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2022-05",96.56645,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2022-06",96.16199,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2022-07",96.13423,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2022-08",96.3986,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2022-09",96.61599,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2022-10",96.72991,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2022-11",96.79697,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2022-12",97.01642,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2023-01",97.30431,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2023-02",97.42091,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2023-03",97.30487,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2023-04",97.20781,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2023-05",97.21225,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2023-06",97.50813,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2023-07",97.87399,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2023-08",98.00307,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2023-09",97.99882,
